Date,Open,High,Low,Close,Adj Close,Volume
2019-01-30,168.399994,172.660004,167.360001,172.619995,172.619995,1864100
2019-01-31,180.500000,184.979996,179.289993,181.529999,181.529999,3165900
2019-02-01,180.669998,186.949997,180.330002,186.059998,186.059998,2477700
2019-02-04,186.050003,189.190002,185.000000,186.779999,186.779999,1797500
2019-02-05,188.210007,190.350006,187.500000,189.289993,189.289993,2041900
2019-02-06,188.600006,189.570007,184.690002,188.479996,188.479996,1189500
2019-02-07,186.259995,187.339996,183.149994,186.610001,186.610001,1341900
2019-02-08,184.979996,189.970001,184.789993,189.410004,189.410004,1570200
2019-02-11,192.660004,192.899994,188.389999,190.300003,190.300003,1611800
2019-02-12,192.889999,193.080002,188.809998,189.520004,189.520004,2099100
2019-02-13,190.169998,191.080002,186.259995,187.750000,187.750000,1664800
2019-02-14,186.979996,189.800003,186.979996,188.539993,188.539993,1425800
2019-02-15,193.000000,193.369995,187.910004,190.789993,190.789993,1717000
2019-02-19,190.190002,192.919998,190.009995,192.740005,192.740005,1347200
2019-02-20,192.490005,193.729996,187.179993,188.649994,188.649994,1846600
2019-02-21,188.419998,190.679993,187.220001,189.470001,189.470001,1335300
2019-02-22,190.440002,194.809998,190.279999,194.699997,194.699997,1305000
2019-02-25,196.139999,198.970001,195.199997,196.229996,196.229996,1930000
2019-02-26,195.389999,197.789993,194.429993,195.119995,195.119995,2075500
2019-02-27,196.009995,198.139999,193.850006,197.449997,197.449997,1487600
2019-02-28,197.509995,199.449997,195.710007,197.929993,197.929993,2936800
2019-03-01,199.850006,200.000000,187.130005,189.139999,189.139999,5545300
2019-03-04,189.350006,190.300003,175.509995,179.220001,179.220001,6069900
2019-03-05,180.330002,183.229996,178.360001,181.960007,181.960007,3371400
2019-03-06,182.850006,183.990005,179.779999,182.429993,182.429993,1438000
2019-03-07,181.259995,184.949997,180.210007,181.750000,181.750000,1840500
2019-03-08,178.419998,181.820007,176.470001,181.610001,181.610001,1616700
2019-03-11,182.240005,186.250000,182.000000,185.500000,185.500000,1987800
2019-03-12,186.539993,188.850006,184.740005,187.339996,187.339996,1681100
2019-03-13,188.500000,190.740005,186.119995,186.160004,186.160004,1820700
2019-03-14,185.960007,188.789993,184.800003,187.039993,187.039993,1644500
2019-03-15,185.270004,187.770004,184.169998,186.690002,186.690002,2630100
2019-03-18,186.360001,190.399994,185.889999,187.509995,187.509995,1743000
2019-03-19,188.610001,192.080002,186.809998,191.529999,191.529999,2239400
2019-03-20,192.000000,195.220001,189.740005,192.710007,192.710007,1288800
2019-03-21,191.610001,197.860001,191.009995,197.580002,197.580002,1032600
2019-03-22,196.250000,196.949997,190.710007,191.080002,191.080002,1367100
2019-03-25,190.619995,191.710007,188.149994,190.699997,190.699997,1109000
2019-03-26,192.190002,194.369995,190.910004,192.639999,192.639999,920700
2019-03-27,192.000000,192.770004,185.429993,189.679993,189.679993,1265100
2019-03-28,190.070007,192.449997,188.759995,190.199997,190.199997,838100
2019-03-29,191.889999,194.210007,190.770004,192.850006,192.850006,1081400
2019-04-01,193.509995,196.880005,190.080002,192.750000,192.750000,1223400
2019-04-02,192.940002,194.169998,191.000000,193.779999,193.779999,720300
2019-04-03,194.509995,194.910004,191.880005,193.500000,193.500000,1271800
2019-04-04,193.100006,193.179993,179.080002,185.470001,185.470001,3829200
2019-04-05,186.639999,187.429993,183.080002,186.289993,186.289993,1723200
2019-04-08,185.889999,187.220001,182.500000,187.110001,187.110001,824600
2019-04-09,185.550003,190.960007,184.550003,190.800003,190.800003,1765000
2019-04-10,191.910004,196.729996,190.679993,195.100006,195.100006,1693200
2019-04-11,195.029999,196.729996,193.759995,195.869995,195.869995,811900
2019-04-12,196.500000,197.399994,193.830002,195.750000,195.750000,865400
2019-04-15,195.020004,195.639999,191.270004,192.910004,192.910004,1760900
2019-04-16,192.380005,198.589996,192.380005,195.789993,195.789993,2245600
2019-04-17,195.690002,196.000000,189.809998,191.020004,191.020004,1515900
2019-04-18,191.009995,191.009995,184.250000,187.830002,187.830002,2505600
2019-04-22,187.710007,189.979996,186.789993,189.369995,189.369995,1053700
2019-04-23,190.820007,195.500000,189.690002,195.199997,195.199997,1439400
2019-04-24,195.789993,197.710007,194.960007,195.369995,195.369995,1382900
2019-04-25,197.009995,199.360001,195.800003,198.820007,198.820007,1520500
2019-04-26,199.949997,204.619995,198.320007,204.410004,204.410004,1526200
2019-04-29,205.000000,206.479996,203.600006,204.509995,204.509995,1002900
2019-04-30,204.479996,208.330002,203.050003,205.630005,205.630005,962800
2019-05-01,206.500000,206.850006,201.179993,201.179993,201.179993,1102400
2019-05-02,200.169998,201.789993,194.809998,198.649994,198.649994,1320200
2019-05-03,200.779999,203.789993,198.050003,203.119995,203.119995,789100
2019-05-06,196.690002,203.279999,195.039993,202.979996,202.979996,1029300
2019-05-07,200.660004,201.990005,195.110001,198.539993,198.539993,1242900
2019-05-08,198.000000,200.050003,195.660004,196.919998,196.919998,2243600
2019-05-09,194.550003,200.520004,191.250000,200.350006,200.350006,1310700
2019-05-10,198.779999,204.229996,197.339996,203.529999,203.529999,1137300
2019-05-13,198.490005,200.990005,193.839996,194.080002,194.080002,1951000
2019-05-14,196.250000,202.110001,195.380005,201.279999,201.279999,1131500
2019-05-15,200.029999,206.820007,199.289993,204.990005,204.990005,1277100
2019-05-16,205.000000,213.979996,204.419998,212.000000,212.000000,2534300
2019-05-17,210.529999,212.250000,207.809998,210.380005,210.380005,2434400
2019-05-20,208.139999,209.360001,202.669998,202.809998,202.809998,1545600
2019-05-21,205.809998,208.100006,205.679993,206.830002,206.830002,1429400
2019-05-22,205.130005,210.869995,205.130005,210.410004,210.410004,2149500
2019-05-23,209.179993,209.899994,202.440002,205.320007,205.320007,1548600
2019-05-24,207.020004,213.130005,206.500000,210.720001,210.720001,1656500
2019-05-28,212.500000,217.630005,211.630005,212.869995,212.869995,3754000
2019-05-29,209.850006,210.000000,199.360001,203.229996,203.229996,5529300
2019-05-30,203.330002,208.350006,203.009995,207.910004,207.910004,1702400
2019-05-31,203.899994,207.800003,203.050003,204.119995,204.119995,1721300
2019-06-03,203.850006,204.789993,190.380005,191.880005,191.880005,2941300
2019-06-04,193.520004,195.990005,189.619995,195.789993,195.789993,3164100
2019-06-05,198.979996,200.809998,194.889999,199.600006,199.600006,2095200
2019-06-06,199.130005,205.300003,198.289993,204.110001,204.110001,1320400
2019-06-07,204.850006,211.820007,204.190002,211.470001,211.470001,1823600
2019-06-10,213.679993,217.000000,213.300003,213.690002,213.690002,1639800
2019-06-11,216.020004,216.679993,203.649994,205.770004,205.770004,1829100
2019-06-12,205.169998,214.029999,205.070007,209.449997,209.449997,1343800
2019-06-13,207.809998,210.770004,205.339996,208.460007,208.460007,1536400
2019-06-14,207.990005,209.899994,205.100006,208.000000,208.000000,1058400
2019-06-17,209.000000,212.449997,207.039993,209.029999,209.029999,1411800
2019-06-18,212.000000,215.479996,211.309998,213.240005,213.240005,1611400
2019-06-19,213.500000,216.210007,211.000000,215.759995,215.759995,960700
2019-06-20,219.330002,221.000000,215.580002,220.110001,220.110001,1847600
2019-06-21,218.270004,219.020004,215.839996,216.330002,216.330002,1649600
2019-06-24,217.500000,218.270004,208.250000,209.070007,209.070007,2330100
2019-06-25,209.660004,210.089996,203.029999,204.520004,204.520004,1506700
2019-06-26,207.389999,209.660004,203.070007,204.580002,204.580002,1350900
2019-06-27,205.080002,207.589996,203.270004,206.259995,206.259995,1076700
2019-06-28,206.869995,208.949997,204.710007,205.580002,205.580002,3488600
2019-07-01,210.350006,213.660004,208.500000,213.470001,213.470001,1527200
2019-07-02,213.399994,214.100006,211.020004,213.960007,213.960007,1147200
2019-07-03,214.960007,217.550003,213.539993,216.800003,216.800003,1009200
2019-07-05,214.210007,216.529999,211.550003,216.009995,216.009995,957200
2019-07-08,213.889999,215.460007,212.149994,215.270004,215.270004,1451900
2019-07-09,214.000000,219.589996,213.330002,218.740005,218.740005,1361400
2019-07-10,219.320007,222.059998,218.449997,219.229996,219.229996,1100100
2019-07-11,219.500000,224.429993,219.500000,224.300003,224.300003,1860100
2019-07-12,223.759995,226.830002,220.889999,222.169998,222.169998,1686600
